	gene	span_count	hit_count
240	PGK1	24	71
104	MUM1	8	25
214	CYTH1	6	18
71	MIR4479	6	12
191	PDZD4	6	12
225	PACS1	5	14
54	GAK	5	7
176	IL17C	5	9
87	PLEC	5	28
247	C6orf106	5	11
274	N6AMT2	4	17
220	LOC100131496	4	38
269	NRADDP	4	12
198	CDC42SE2	4	7
114	NEAT1	4	10
118	R3HDM4	4	23
45	SNAPC4	3	3
256	MIR548BB	3	8
267	ANKRD11	3	6
268	LINC00273	3	11
229	ZMYM4	3	8
61	LINC01503	3	42
88	MIR6846	3	3
91	TSC22D3	3	4
224	CWH43	3	5
222	MTERF4	3	5
107	SNX9	3	22
108	SAE1	3	7
35	ZBTB16	3	18
0	SNORA100	3	6
10	MIR4512	3	12
178	AFF1	3	4
277	ZNF750	3	4
199	MYO1C	2	4
227	LIME1	2	9
13	PEX14	2	8
175	CRISPLD2	2	17
129	SGTA	2	11
231	AP1AR	2	11
131	BORCS6	2	10
244	PIEZO1	2	4
79	BCL6	2	43
235	CTD-2201I18.1	2	12
133	GPR18	2	4
237	CCM2	2	8
75	EIF4E3	2	4
74	GLS	2	11
11	CBFB	2	2
153	MALSU1	2	2
93	SRBD1	2	3
165	ZC3H18	2	6
208	ARIH2OS	2	52
207	SNX15	2	17
121	NFIX	2	9
166	GIPC1	2	9
215	PROS1	2	7
4	GALM	2	6
205	EIF3G	2	8
9	NAP1L1	2	2
6	AP2A2	2	37
218	CSNK1D	2	12
101	MIR3133	2	5
98	ETV6	2	13
163	WDR34	2	4
95	RNU6-7	2	5
243	UBE2G1	2	7
134	TMEM245	2	5
245	MTFR2	2	28
141	SPPL3	2	6
32	MIR5690	2	7
34	SLC38A1	2	4
273	FAM87B	2	29
27	CKB	2	13
26	ATAD3A	2	18
265	HN1L	2	3
185	NOSIP	2	5
1	EP400	2	17
275	ARFGAP3	2	6
46	RDH10-AS1	2	4
259	C21orf33	2	19
50	NMT2	2	3
155	TRAP1	2	9
22	LOC100287036	2	13
189	B4GALNT4	2	2
250	ZFAS1	2	17
117	STK38	2	2
279	ACTN4	2	5
248	SEPT9	2	5
62	FANCA	2	2
251	SPN	2	5
181	LMNB2	1	1
179	FYN	1	5
194	ITGAE	1	2
204	ADSL	1	1
196	PELI1	1	2
182	NME3	1	2
183	GPR68	1	1
206	CBLB	1	4
