gene	span_count	hit_count
PGK1	24	71
MUM1	8	25
CYTH1	6	18
MIR4479	6	12
PDZD4	6	12
PACS1	5	14
GAK	5	7
IL17C	5	9
PLEC	5	28
C6orf106	5	11
N6AMT2	4	17
LOC100131496	4	38
NRADDP	4	12
CDC42SE2	4	7
NEAT1	4	10
R3HDM4	4	23
SNAPC4	3	3
MIR548BB	3	8
ANKRD11	3	6
LINC00273	3	11
ZMYM4	3	8
LINC01503	3	42
MIR6846	3	3
TSC22D3	3	4
CWH43	3	5
MTERF4	3	5
SNX9	3	22
SAE1	3	7
ZBTB16	3	18
SNORA100	3	6
MIR4512	3	12
AFF1	3	4
ZNF750	3	4
MYO1C	2	4
LIME1	2	9
PEX14	2	8
CRISPLD2	2	17
SGTA	2	11
AP1AR	2	11
BORCS6	2	10
PIEZO1	2	4
BCL6	2	43
CTD-2201I18.1	2	12
GPR18	2	4
CCM2	2	8
EIF4E3	2	4
GLS	2	11
CBFB	2	2
MALSU1	2	2
SRBD1	2	3
ZC3H18	2	6
ARIH2OS	2	52
SNX15	2	17
NFIX	2	9
GIPC1	2	9
PROS1	2	7
GALM	2	6
EIF3G	2	8
NAP1L1	2	2
AP2A2	2	37
CSNK1D	2	12
MIR3133	2	5
ETV6	2	13
WDR34	2	4
RNU6-7	2	5
UBE2G1	2	7
TMEM245	2	5
MTFR2	2	28
SPPL3	2	6
MIR5690	2	7
SLC38A1	2	4
FAM87B	2	29
CKB	2	13
ATAD3A	2	18
HN1L	2	3
NOSIP	2	5
EP400	2	17
ARFGAP3	2	6
RDH10-AS1	2	4
C21orf33	2	19
NMT2	2	3
TRAP1	2	9
LOC100287036	2	13
B4GALNT4	2	2
ZFAS1	2	17
STK38	2	2
ACTN4	2	5
SEPT9	2	5
FANCA	2	2
SPN	2	5
LMNB2	1	1
FYN	1	5
ITGAE	1	2
ADSL	1	1
PELI1	1	2
NME3	1	2
GPR68	1	1
CBLB	1	4
IRS2	1	1
SPECC1L-ADORA2A	1	2
NUB1	1	9
C21orf91-OT1	1	12
KMT2E-AS1	1	2
ALDH9A1	1	1
PROX2	1	3
ATP1A1	1	1
PLA2G6	1	1
OBFC1	1	1
CRK	1	2
FOXK2	1	1
BAIAP2	1	4
GRAP2	1	2
CHMP7	1	1
SKI	1	4
WHSC1L1	1	2
SH3BP1	1	3
PRKD2	1	1
MIR3202-2	1	2
LRRC24	1	4
MAML1	1	4
PAPOLB	1	2
RAB8A	1	4
AXIN1	1	1
MIR7705	1	1
GYG2P1	1	1
DNAL4	1	4
CTSS	1	1
ITM2A	1	5
KIAA0319L	1	2
VPS50	1	2
SPTAN1	1	1
TNRC6B	1	2
MIR6769A	1	1
MIR4513	1	1
METRN	1	1
ABLIM1	1	1
GNA13	1	3
VTRNA1-1	1	1
WNK1	1	1
RNF223	1	2
MIR4642	1	1
RCN3	1	5
SEC22C	1	1
TAOK3	1	1
MIR192	1	2
HES7	1	2
NRBP2	1	1
MAP1LC3B	1	1
EFCAB14-AS1	1	5
GNB1	1	5
FKBP5	1	2
