gene	span_count	hit_count	gene_freq
PGK1	1664	4894	1291
PLEC	467	1760	378
NPLOC4	457	1577	393
PACS1	419	1087	355
MIR4479	391	860	385
NPRL3	376	634	68
NEAT1	376	858	260
SNAPC4	316	372	118
SPTAN1	285	880	245
MUM1	283	1158	279
PRR12	271	1084	196
SNX9	267	1958	178
MIR4512	267	1068	267
LUC7L	266	1208	228
ZNF276	247	598	211
NDUFS7	246	703	142
C6orf106	246	798	203
R3HDM4	243	1678	194
DNMT1	233	898	183
MAP3K5	231	3619	77
LOC101928855	231	484	217
ZMYM4	231	612	160
EIF3G	228	784	171
KDM2A	228	633	190
ANKRD11	227	875	197
ARIH2OS	223	4530	134
STK11	220	678	184
SAE1	215	564	138
NAP1L1	204	244	102
NADK	199	530	159
LIME1	194	768	194
MIR7112	191	575	165
ABCA7	186	1262	154
ZGPAT	182	536	144
MXD3	178	1691	89
GLS	176	950	90
NOSIP	176	476	149
NRBP2	171	295	157
MROH1	170	570	132
SF1	170	858	124
SBF1	169	791	142
PPP6R1	168	203	157
NSD1	165	506	145
SLC38A10	163	591	155
HSF1	159	804	149
ZBTB16	156	936	52
IL17C	154	228	128
LTBP3	153	395	87
DOLK	150	450	102
CYTH1	148	434	129
JMJD8	148	515	112
MIR5096	148	570	128
LOC100287036	145	547	125
EXOSC4	145	181	120
PPP6R2	144	680	126
MTERF4	144	240	96
QRICH1	143	734	125
ARFGAP3	142	430	93
TSC22D3	141	188	94
CRIP1	141	329	94
STK38	141	363	87
RAB24	140	380	116
TSC2	140	393	115
RBM4	139	436	113
ECI1	138	446	114
SAFB	136	724	124
EHMT1	136	389	110
POLR2A	136	436	102
CBFB	135	229	135
MAPK8IP3	132	524	110
HN1L	132	524	110
MIR1225	130	540	92
PPP3CC	129	168	37
SGTA	128	707	71
AXIN1	128	483	89
TCF25	125	345	71
HBQ1	124	382	86
NARFL	124	390	100
MIR548BB	124	308	81
LINC01503	123	1527	87
GAK	123	349	109
OGDH	123	366	115
GNB1	123	635	95
GRAP2	121	228	99
NME3	121	281	113
FANCA	121	557	117
MTG1	121	423	80
ADSL	121	147	121
CSNK1D	121	443	85
EP400	120	946	74
RBM6	120	272	76
PARP10	120	428	120
TRAP1	119	503	103
PWP2	119	360	107
PIEZO1	118	330	93
MIR6855	116	322	106
CCDC183-AS1	116	360	102
SPN	114	288	58
MOB3A	114	477	114
LRRC24	113	424	107
MIR612	112	945	80
UBE2J2	112	522	88
XPO6	112	359	85
CKB	112	682	100
MAP2K2	110	624	106
UBR2	108	352	86
IMPDH2	108	274	98
BORCS6	108	540	54
NOTCH1	106	106	106
TICAM1	105	109	105
DIP2A-IT1	104	224	80
PRKAG1	102	526	88
ARHGAP35	102	368	76
GPATCH8	102	290	92
MYO1F	102	3434	17
CDC42SE2	102	270	66
RNVU1-6	101	101	101
GNA13	101	325	101
VPS37B	100	324	88
INPP5E	100	432	82
LOC339059	100	276	57
MAFA	99	363	69
SELO	99	366	81
CCNL2	98	352	86
CHD3	98	659	98
DDX6	97	330	77
ACTG1	97	304	91
CHMP7	96	270	75
PELI1	96	196	96
MFSD12	96	336	88
SSU72	96	320	74
SAFB2	96	490	78
PRPF6	96	266	88
UBAP2L	96	210	76
MIR5090	96	96	48
STK4	94	195	82
KMT2D	94	326	78
VTRNA1-1	94	94	94
SUN2	93	230	83
TMBIM1	92	92	92
USP9X	92	208	62
HSPBP1	91	196	60
PDPK1	90	354	49
CREBBP	90	496	66
MAN1B1	90	341	76
PROCA1	89	89	89
S100B	89	131	89
PBRM1	88	442	68
USP3-AS1	88	312	84
LOC100506860	88	335	88
HNRNPUL2-BSCL2	86	350	58
SURF4	86	589	82
STAT5B	86	237	79
WASF2	86	257	68
PPP1R16A	86	160	71
ZNF34	86	284	68
ANKMY1	85	362	62
VTRNA1-3	85	85	85
TRIM7	85	1700	85
MIR5690	85	313	81
ANAPC11	84	326	57
HMHA1	84	411	78
NOC2L	84	124	78
SCARNA26B	84	242	68
CARD8	83	242	77
MIR6848	83	261	55
SKI	83	312	79
PDDC1	83	336	41
MARK2	83	243	59
ZDHHC18	83	197	49
ARID1A	83	286	68
DDX17	82	292	74
RBM5	82	258	74
AGFG2	82	419	62
SEC16A	82	310	74
TMEM80	82	242	66
RNVU1-15	81	81	81
SEPT2	81	294	71
SF3A2	80	238	65
CCDC57	80	200	68
TALDO1	80	208	58
NMT2	80	143	80
DOT1L	80	206	74
CPTP	79	173	73
AP3D1	79	348	59
CD69	79	127	79
ILF3	79	381	69
RNF223	78	154	78
POLE	78	242	60
SMARCC1	78	246	62
CYC1	77	313	65
MIR6846	77	79	35
FNBP1	77	164	38
BOP1	76	266	68
RAD52	76	406	58
RNVU1-18	76	76	76
ACTN4	75	159	65
MIR4753	75	227	61
PLA2G6	74	74	74
MPG	74	248	46
SDE2	74	245	43
UBR4	74	272	68
HAUS8	73	666	65
CTCF	73	198	59
SACM1L	73	182	61
ARHGAP39	73	373	73
SH3GL1	72	243	72
SETX	72	280	60
ESYT2	71	479	60
ZNF750	70	218	53
CBLB	70	189	70
CRISPLD2	70	595	70
MIR3177	70	244	52
HTT-AS	70	142	64
P2RY11	70	70	35
KIAA1033	70	194	62
SH3RF1	69	322	46
LOC101927817	68	186	60
MYO1C	68	136	34
TMEM204	68	180	52
MECP2	68	306	60
ITPKB	68	323	55
ABCA11P	68	274	48
SPATA33	68	164	50
ZFAS1	68	492	44
GTPBP1	68	152	56
MIR9-1	67	201	67
LDLR	67	202	43
SMG6	67	254	61
MIDN	67	294	67
IDUA	67	313	53
ANKFY1	66	224	60
SOX15	66	302	46
AKAP8L	66	138	54
METTL16	66	326	54
GMPPB	66	254	54
CAPN1	66	256	66
SUPT5H	66	230	56
NFATC3	65	241	57
SEC22C	65	95	57
ADAMTSL4-AS1	65	164	65
PPP6R3	65	218	61
TPPP	65	248	53
BRD4	65	118	61
CDKL1	65	167	65
CDK11B	64	364	50
AKAP8	64	178	44
CSPG5	64	168	58
DIDO1	64	186	47
RECQL5	64	76	32
EME2	64	532	46
UBE2L3	64	492	35
SPG7	64	158	46
FASN	64	209	64
GPCPD1	64	231	56
ZC3H18	64	210	58
LOC401585	64	398	34
SLC38A1	63	144	63
GAPVD1	63	101	51
ZNF598	63	206	49
ZCCHC8	62	112	46
XRCC3	62	182	50
XRCC6	62	182	58
SNRNP70	62	240	48
FAM132A	62	167	52
