pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,0.027454243,0.200242051,-0.387769784,-1.765778324,32,14,YWHAB;SPTBN1;STAT5B;MAP2K2;ZC3HAV1;NOTCH1;TBL1XR1;TRAT1;TNKS
REACTOME_INFECTIOUS_DISEASE,0.028606007,0.200242051,0.589568127,1.733459071,259,18,PGK1;PACS1;MYO1C
REACTOME_METABOLISM_OF_LIPIDS,0.04791537,0.223605061,-0.401811711,-1.611449766,76,11,TBL1XR1;PTDSS2;PLEKHA4;CERK;AGPAT3;SACM1L;SBF1;NR1D1;ECI1
REACTOME_RHO_GTPASE_CYCLE,0.398070969,0.847754655,0.401925895,1.061087825,3342,11,CDC42SE2;CKB;ARFGAP3;STK38;BAIAP2;SH3BP1;SPTAN1;GNA13;TAOK3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,0.461707036,0.847754655,0.364082249,0.999083912,4002,13,IL17C;BCL6;EIF4E3;FYN;PELI1;IRS2;CRK;GRAP2
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,0.517768731,0.847754655,0.323065693,0.949883706,4705,18,SNAPC4;ZNF750;BCL6;GLS;CBFB
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,0.540014959,0.847754655,-0.211469534,-0.928998935,721,13,YWHAB;STAT5B;MAP2K2;S100B;SH3GL1;RPS6KA5;DNAL4;GRAP2;BAIAP2;CRK;IRS2;FYN;AP2A2
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,0.638177624,0.847754655,0.305602716,0.838609294,5532,13,CDC42SE2;CKB;ARFGAP3;STK38;BAIAP2;SH3BP1;SPTAN1;GNA13;TAOK3
REACTOME_MEMBRANE_TRAFFICKING,0.650645398,0.847754655,0.268643306,0.845698877,6199,27,CYTH1;GAK;SNX9;MYO1C;AP2A2;CSNK1D
REACTOME_VESICLE_MEDIATED_TRANSPORT,0.650645398,0.847754655,0.268643306,0.845698877,6199,27,CYTH1;GAK;SNX9;MYO1C;AP2A2;CSNK1D
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,0.666092943,0.847754655,0.271340713,0.821621443,6191,21,SAE1;ZBTB16;PEX14;PROS1;CSNK1D;UBE2G1;ARFGAP3;NUB1;FOXK2;RAB8A;AXIN1;SPTAN1
REACTOME_INNATE_IMMUNE_SYSTEM,0.873493976,0.945592912,0.200885609,0.608282928,8119,21,MYO1C;CRISPLD2;PROS1;AP2A2;FYN;PELI1;PLA2G6;CRK;BAIAP2;GRAP2;CTSS;SPTAN1
REACTOME_DEVELOPMENTAL_BIOLOGY,0.921770699,0.945592912,0.2,0.538693223,7870,12,CBFB;AP2A2;FYN;IRS2;MAML1;SPTAN1;ABLIM1;RPS6KA5
REACTOME_ADAPTIVE_IMMUNE_SYSTEM,0.945592912,0.945592912,0.179456435,0.501284641,8324,14,ZBTB16;AP2A2;UBE2G1;FYN;CBLB;GRAP2;CTSS
