"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",0.507603041216487,0.782921396333887,0.492887298299916,0.997655416713478,5073,32,"ABCA7;PSMD13;ERLIN1;VCP;APOA1;PSMB7;PSME4;PSMD4;PSMA4;ABCA2;PSMF1;PSMB2;PSMC4;PSMC5"
"REACTOME_ABC_TRANSPORTER_DISORDERS",0.784341209451342,0.887353764609698,0.410330068848717,0.828802842294813,7833,29,"PSMD13;ERLIN1;VCP;APOA1;PSMB7;PSME4;PSMD4;PSMA4;PSMF1;PSMB2;PSMC4;PSMC5"
"REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",0.0611161206291955,0.616819363872775,0.661829111943655,1.33437875884946,609,28,"POLR2A;KMT2D;CREBBP;CTCF;EP300;POLR2L;PKNOX1;NCOR1;KMT2C;NCOA3;RBBP7"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",0.849438202247191,0.902757916241062,0.370842601419341,0.72088229470698,8315,15,"RPA1;ATRIP;ORC5;ORC4;MCM8;CDC6;MCM3;RFC2;MCM7;RAD9B;MCM5"
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.0964574898785425,0.721353303266165,0.674617875160003,1.32955270213788,952,18,"PPP3CC;YWHAB;TP53BP2;YWHAZ;AKT1;BCL2"
"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",0.316586442037706,0.758470711075783,0.553645719212424,1.112406851271,3156,26,"CREBBP;FASN;PMVK;SREBF2;CHD9;SQLE;SP1;MTF1;NFYC"
"REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS",0.281325060048038,0.741480097930151,0.556756725883976,1.12574654648016,2810,31,"PRKAG1;PDPK1;GRIN1;TUBB4B;RPS6KA3;DLG1;PRKAR1A;TUBA1A;MAPK1"
"REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",0.240493527508091,0.728624026885993,0.598408774153786,1.18145176126882,2377,19,"EIF3G;RPS5;RPS25;PABPC1;RPS15"
"REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",0.681961222210943,0.856510203450012,0.448375154257507,0.879045852585517,6717,17,"POLE;POLA2;RPA1;ORC5;CDT1;ORC4;MCM8;CDC6;MCM3;PRIM1;MCM7"
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM",0.553144685531447,0.790167441860465,0.461901216933327,0.985577038359263,5531,281,"ZBTB16;GRAP2;UBE2J2;UBR2;PDPK1;ANAPC11;UBR4;CBLB;SH3RF1;NFATC3;UBE2L3;HERC1;FBXO22;YWHAB;PSMD13;AP2A2;FBXW5;KLC2;GRB2;UNKL;UBE2G1;KLC1;UBE2G2;CUL1;CAPZB;UBR1;UBE2Q2;TUBB4B;RNF213;IKBKG;BCAP31;TRIM37;DCTN1;YWHAZ;IFITM1;UBE2D2;RELA;AKT1;ICAM4;UBE3C;FBXL16;CD4;UBAC1;ITCH;ZAP70;TRAF7;UBE3A;FBXW11;DYNC1H1;RNF126;TRAT1;KLHL11;STUB1;SIPA1;HECTD1;FZR1;PPP2R1A;RBX1;VHL;HUWE1;TUBA1A;KIF5B;UBE2H;PTPN11;LRSAM1;SEC31A;RICTOR;CD160;CANX;ARF1;KLRG1;FYN;NFATC1;PSMB7;CLEC2B;ITPR2;PSME4;CDC27;PPP2R5D;PSMD4;RAF1;CTSK;BLMH;ORAI1;PSMA4;AP1G1;AP1M1;CTSS;AP2S1;PPP2R1B;PSMF1;RAP1GAP;REL;PILRB;SEC24A;FBXL5;AP2B1;CAPZA1;RAC1;NFKB1;FBXW2;FBXO9;TRIP12;TRIM41;PSMB2;MRC2;PSMC4;PTEN"
