gene	# participants
NPLOC4	17
DNMT1	13
QRICH1	12
HSF1	12
PACS1	11
NSD1	11
FBXW5	10
ZNF276	10
LUC7L	10
HERC1	10
NADK	10
LIME1	10
FAM193A	10
MIR7112	10
PLEC	10
SPTAN1	10
KDM2A	10
SEPTIN2	9
INTS11	9
IMPDH2	9
SF1	9
MROH1	9
VPS13C	9
NDUFS7	9
STAG2	9
MTG1	9
BOP1	9
AXIN1	9
MIR1225	9
SAFB	9
PPP6R2	8
ILRUN-AS1	8
INPP5E	8
DEAF1	8
MAN1B1	8
RBM6	8
JPT2	8
RABEP1	8
PBRM1	8
CCDC183-AS1	8
SLC38A10	8
GPATCH8	8
CYC1	8
SLC19A1	8
RNPS1	8
UBR2	8
URI1	8
HNRNPUL2-BSCL2	8
PRR12	8
POLA2	8
ECI1	8
RAD52	8
CIAO3	8
EIF4EBP3	8
UBE2J2	8
ANKMY1	8
SAE1	8
MAPK8IP3	8
DYRK1A	8
EIF3G	8
ANAPC11	8
TRAPPC10	8
ANKRD11	8
SCAF1	8
TBCD	8
C9orf163	8
SYMPK	8
USP37	7
VPS37B	7
HBQ1	7
RAB24	7
UQCC1	7
VPS8	7
VPS13D	7
GAK	7
UBR4	7
NUP188	7
PWWP3A	7
ANKFY1	7
SETD2	7
CTCF	7
KANSL2	7
MAML1	7
DPP7	7
ZNF34	7
CALML4	7
IL17C	7
CRAMP1	7
CREBBP	7
ATAD3B	7
LINC01465	7
SRP68	7
NOSIP	7
UBAP2L	7
GPT	7
NRBP2	7
PPP6R3	7
RSBN1	7
C5orf24	7
HTT	7
ATN1	7
EP400	7
EHMT1	7
HYPAL	7
NFATC3	7
RUFY1	7
DDX6	7
MIR555	7
NOC2L	7
NUP214	7
MED13	7
LINC01128	7
CCNL2	7
KLHDC4	7
RRAS	7
MIR626	7
CBFB	7
PRKAG1	7
ZGPAT	7
SNORA70B	6
MIR6727	6
RBM4	6
MRTFA	6
PRPF6	6
DDX17	6
GLE1	6
CKB	6
CHD9	6
MIR4511	6
MAN2C1	6
LOC101928855	6
ARID1A	6
CSE1L-DT	6
ERLIN1	6
POLR2A	6
SMG6	6
ZNF251	6
SPSB3	6
CPTP	6
ATP2A2	6
UBE2G2	6
SOX15	6
MIR8072	6
SNORA58B	6
NARF	6
PRPF38A	6
ARFGEF1	6
MIR6776	6
MICOS13	6
FASN	6
PDIA2	6
IDUA	6
CARMIL2	6
FARP2	6
IRF5	6
ANKHD1	6
MIR644A	6
GMPPB	6
ZNF598	6
KIF1B	6
SNORD13E	6
STK11	6
AHSA2P	6
AP2A2	6
TRAP1	6
SPEN-AS1	6
FAM174C	6
TAOK1	6
SET	6
MAPKBP1	6
YPEL1	6
SH2B3	6
SH3GL1	6
GNB1	6
MIR5690	6
PKNOX1	6
KLC1	6
CSNK1D	6
UBE2G1	6
CEP350	6
KTN1	6
DAZAP1	6
RBM5	6
R3HDM4	6
ADD1	6
P4HB	6
POLE	6
TPPP	6
BRD4	6
RNF213	6
ILF3	6
GLRX3	6
PDS5A	6
MIR6848	6
SAFB2	6
SNRNP70	6
MIR4804	6
TMEM204	6
RNU6-7	6
MARK2	6
MIR6800	6
DIP2A-IT1	6
MFSD3	6
UQCC5	6
TCF25	6
PSMD13	6
SBF1	6
P4HTM	6
CNOT6	6
KCNJ13	6
PGK1	6
MECP2	6
SPPL3	6
PAFAH1B1	6
UBR1	6
SHARPIN	6
MIR4479	6
MIR3177	6
KREMEN2	6
CAPN1	6
CEP104	6
SEC22C	6
AKAP8	6
TRAF3	6
SETX	6
SLC25A17	6
CEP95	6
MIR6855	6
CARD8	6
CCNT1	6
ARFGAP3	6
ATXN10	6
RHOA	6
JMJD8	6
XRCC6	6
AP3D1	6
CIRBP-AS1	5
SYPL1	5
DIDO1	5
HBII-251|SNORD85	5
MIR579	5
BPHL	5
SRSF4	5
LRPPRC	5
ZNF589	5
ST13	5
MIR4797	5
MTDH	5
UNKL	5
FANCA	5
GIT2	5
RANBP3	5
YBX1	5
UTRN	5
SPG7	5
POGZ	5
CNTRL	5
VPS51	5
INGX	5
FAAP100	5
AGFG2	5
POLR2L	5
NUP98	5
TAX1BP1	5
MOB3A	5
SCAND1	5
AFF4	5
HAGH	5
ESYT2	5
ANKRD13D	5
KLC2	5
GIGYF2	5
AKAP13	5
PDCD7	5
STK38	5
YWHAQ	5
CD69	5
CSNK1A1	5
GOLGA1	5
CLPX	5
SMARCA4	5
SKI	5
XPO6	5
NT5C2	5
ZCCHC8	5
UBE2Q2	5
CSE1L	5
SMYD4	5
TNPO3	5
MIR5587	5
MICALL1	5
MYSM1	5
BRD1	5
TOP2B	5
MIR4753	5
GTF2I-AS1	5
LINC02601	5
MIR548H1	5
RNF38	5
PCGF3	5
CPLX1	5
NR2E3	5
ATP2C1	5
USP14	5
ZNF750	5
C1QTNF12	5
RPRD2	5
