gene	Npart
NPLOC4	17
DNMT1	13
QRICH1	12
HSF1	12
PACS1	11
NSD1	11
NADK	10
SPTAN1	10
LUC7L	10
KDM2A	10
PLEC	10
FBXW5	10
MIR7112	10
ZNF276	10
HERC1	10
LIME1	10
FAM193A	10
SF1	9
IMPDH2	9
MROH1	9
BOP1	9
AXIN1	9
INTS11	9
SEPTIN2	9
VPS13C	9
NDUFS7	9
STAG2	9
MIR1225	9
SAFB	9
MTG1	9
ILRUN-AS1	8
SLC19A1	8
ECI1	8
RABEP1	8
SCAF1	8
INPP5E	8
SLC38A10	8
EIF3G	8
HNRNPUL2-BSCL2	8
GPATCH8	8
ANAPC11	8
RBM6	8
POLA2	8
SAE1	8
RNPS1	8
SYMPK	8
CCDC183-AS1	8
MAPK8IP3	8
DYRK1A	8
MAN1B1	8
UBE2J2	8
DEAF1	8
PBRM1	8
EIF4EBP3	8
CYC1	8
ANKMY1	8
CIAO3	8
TRAPPC10	8
UBR2	8
URI1	8
RAD52	8
ANKRD11	8
C9orf163	8
PPP6R2	8
JPT2	8
PRR12	8
TBCD	8
PRKAG1	7
HYPAL	7
C5orf24	7
ANKFY1	7
PPP6R3	7
CBFB	7
CCNL2	7
NUP214	7
HBQ1	7
EHMT1	7
NOSIP	7
UQCC1	7
UBAP2L	7
LINC01465	7
MED13	7
SETD2	7
MIR626	7
VPS8	7
EP400	7
IL17C	7
SRP68	7
NFATC3	7
KLHDC4	7
CREBBP	7
ZNF34	7
ATAD3B	7
UBR4	7
KANSL2	7
CTCF	7
GAK	7
RAB24	7
NRBP2	7
NUP188	7
RSBN1	7
LINC01128	7
RRAS	7
DDX6	7
GPT	7
VPS37B	7
USP37	7
DPP7	7
CALML4	7
RUFY1	7
MAML1	7
CRAMP1	7
ZGPAT	7
HTT	7
ATN1	7
PWWP3A	7
VPS13D	7
NOC2L	7
MIR555	7
CEP104	6
NARF	6
CEP350	6
SAFB2	6
PAFAH1B1	6
CNOT6	6
POLE	6
UQCC5	6
AP3D1	6
PSMD13	6
ERLIN1	6
P4HTM	6
CARD8	6
MIR5690	6
SNORD13E	6
MIR6848	6
ATP2A2	6
MAPKBP1	6
CHD9	6
DDX17	6
PGK1	6
SPEN-AS1	6
GMPPB	6
SEC22C	6
PKNOX1	6
CAPN1	6
RNF213	6
MIR4511	6
SHARPIN	6
DIP2A-IT1	6
AHSA2P	6
MFSD3	6
MRTFA	6
UBR1	6
P4HB	6
MICOS13	6
SBF1	6
MIR6776	6
KREMEN2	6
TPPP	6
RNU6-7	6
SNORA58B	6
GLRX3	6
SMG6	6
CARMIL2	6
MIR4804	6
PDIA2	6
MIR3177	6
IDUA	6
GLE1	6
ANKHD1	6
MARK2	6
SOX15	6
CSE1L-DT	6
MIR6727	6
SH2B3	6
MIR4479	6
DAZAP1	6
POLR2A	6
SH3GL1	6
KIF1B	6
JMJD8	6
YPEL1	6
SET	6
CPTP	6
IRF5	6
CCNT1	6
AP2A2	6
BRD4	6
UBE2G2	6
MIR644A	6
AKAP8	6
XRCC6	6
KTN1	6
PRPF38A	6
MECP2	6
MIR6800	6
SPSB3	6
PDS5A	6
MIR6855	6
TAOK1	6
CSNK1D	6
UBE2G1	6
STK11	6
ARFGEF1	6
ZNF251	6
SNRNP70	6
TRAP1	6
TRAF3	6
KCNJ13	6
ARFGAP3	6
TMEM204	6
ATXN10	6
SNORA70B	6
LOC101928855	6
R3HDM4	6
KLC1	6
SETX	6
CEP95	6
CKB	6
ZNF598	6
ARID1A	6
GNB1	6
FAM174C	6
ADD1	6
PRPF6	6
SPPL3	6
RHOA	6
FARP2	6
MAN2C1	6
SLC25A17	6
RBM5	6
ILF3	6
TCF25	6
FASN	6
MIR8072	6
RBM4	6
ASCC1	5
SRPK1	5
MIR1306	5
CSE1L	5
TRAPPC8	5
DIDO1	5
PRMT7	5
POLR2L	5
GTF2I-AS1	5
CIZ1	5
PCGF3	5
FBXO22	5
KLC2	5
CKAP5	5
SMYD4	5
PSMG1	5
SCARNA11	5
NELFB	5
ITGAE	5
TNRC6B	5
RAB4A-AS1	5
HNRNPM	5
MED15	5
RPRD2	5
ZCCHC8	5
GATAD2B	5
MIR939	5
KMT2D	5
TMEM259	5
GTPBP1	5
NPRL3	5
USP48	5
MIR4498	5
LRRC24	5
FOXK2	5
FAF2	5
ZNF384	5
GIT2	5
PDCD7	5
EEF1AKMT1	5
RHOT2	5
CDK11B	5
CABIN1	5
MIR4797	5
MIR933	5
SURF2	5
SCAND1	5
AGFG2	5
SMARCA4	5
EP300	5
TMEM200B	5
RBX1	5
NR2E3	5
CPLX1	5
GAPVD1	5
ZZEF1	5
LPCAT3	5
PPP3CC	5
TNPO3	5
NSD3	5
ZNF346	5
USP3-AS1	5
ASPSCR1	5
FOXJ3	5
MIR597	5
UBA2	5
NT5C2	5
PMPCA	5
POGZ	5
HAGH	5
