pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
REACTOME_CHROMATIN_MODIFYING_ENZYMES,9.999E-05,0.050994901,0.480316415,1.601325643,0,121,NSD1;KDM2A;PBRM1;EHMT1;SETD2;EP400;CREBBP;KANSL2;ARID1A;PRMT7;GATAD2B;KMT2D;SMARCA4;EP300;NSD3;SMARCE1;BRD1;KMT2E;KMT5B;SMARCC1;PHF20;KMT2A;H2AZ2;RUVBL1;KDM4C;BRWD1;DOT1L;OGT;KDM5A;ING5;CHD3;ING4;RELA;SMARCC2;RBBP7;SETDB1;EPC1;PHF21A;ELP5;KDM3B;HAT1;TAF5L;NCOR1;PHF8;HDAC1;TBL1XR1;ELP3;NCOA2;ATF7IP;KMT2C;MORF4L1;ELP6;PHF2;PRMT3;KAT8;GATAD2A
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.000213288,0.050994901,0.716253371,1.913340932,1,15,SPTAN1;PLEC;ADD1;GSN;BCAP31;ROCK1;STK26;PTK2;SATB1;CTNNB1;STK24
REACTOME_VESICLE_MEDIATED_TRANSPORT,0.00029997,0.050994901,0.393231056,1.357061403,2,266,SPTAN1;RABEP1;TRAPPC10;PRKAG1;PPP6R3;GAK;VPS37B;PAFAH1B1;SEC22C;SBF1;SH3GL1;KIF1B;AP2A2;CSNK1D;ARFGAP3;KLC1;TRAPPC8;KLC2;GAPVD1;ASPSCR1;YWHAQ;CYTH1;CAPZB;GOLGA1;PUM1;VPS51;TSC2;SCFD1;VPS28;YWHAZ;YWHAB;ACTG1;AP2B1;EPS15;GRB2;GPS1;PICALM;VPS53;PPP6R1;FNBP1;STAM;USE1;TBC1D20;MVB12A;AKT1;RAB8A;MAP1LC3B;RAB6A;SURF4;STXBP3;AP1G1;DYNC1H1;NBAS;DENND4C;TBC1D14;ARF3;EPS15L1;DCTN4;RAB7A;MYH9;AGPAT3;ARFGAP1;RAB8B;CAPZA1;TRAPPC9;TRIP11;GGA1;SEC23IP;VPS45;RAB10;ITSN2;GABARAP;TRIP10;FTL;SEC24A;DCTN1;ARF1;KIF20A;LDLR;DENND6A;UBA52;RAC1;AGFG1;C2CD5;RAB11A;KIFC2;LMAN2;APP;REPS1;NAA35;TUBA1C;COPS7A;TBC1D16;DENND4A;DENND1B;RAB3A;SNAP29;TSG101;RALGAPA2;COG5;CD59;DNASE2;KIAA0319;ARPC2;CAPZA2;BNIP1;DCTN5;GRK2;MAN1C1;ACTB;COG4;PPP6C;SNAP23;TBC1D10A;CHMP6;COPB1;AAK1;PIK3C2A;CHMP7;COPS2;VAMP4;CTTN;SYNJ1;GOSR1;KIF5B;AP3B1
REACTOME_MEMBRANE_TRAFFICKING,0.00039996,0.050994901,0.396889201,1.36901575,3,263,SPTAN1;RABEP1;TRAPPC10;PRKAG1;PPP6R3;GAK;VPS37B;PAFAH1B1;SEC22C;SBF1;SH3GL1;KIF1B;AP2A2;CSNK1D;ARFGAP3;KLC1;TRAPPC8;KLC2;GAPVD1;ASPSCR1;YWHAQ;CYTH1;CAPZB;GOLGA1;PUM1;VPS51;TSC2;SCFD1;VPS28;YWHAZ;YWHAB;ACTG1;AP2B1;EPS15;GRB2;GPS1;PICALM;VPS53;PPP6R1;FNBP1;STAM;USE1;TBC1D20;MVB12A;AKT1;RAB8A;MAP1LC3B;RAB6A;SURF4;STXBP3;AP1G1;DYNC1H1;NBAS;DENND4C;TBC1D14;ARF3;EPS15L1;DCTN4;RAB7A;MYH9;AGPAT3;ARFGAP1;RAB8B;CAPZA1;TRAPPC9;TRIP11;GGA1;SEC23IP;VPS45;RAB10;ITSN2;GABARAP;TRIP10;FTL;SEC24A;DCTN1;ARF1;KIF20A;LDLR;DENND6A;UBA52;RAC1;AGFG1;C2CD5;RAB11A;KIFC2;LMAN2;APP;REPS1;NAA35;TUBA1C;COPS7A;TBC1D16;DENND4A;DENND1B;RAB3A;SNAP29;TSG101;RALGAPA2;COG5;CD59;DNASE2;KIAA0319;ARPC2;CAPZA2;BNIP1;DCTN5;GRK2;MAN1C1;ACTB;COG4;PPP6C;SNAP23;TBC1D10A;CHMP6;COPB1;AAK1;PIK3C2A;CHMP7;COPS2;VAMP4;CTTN;SYNJ1;GOSR1;KIF5B;AP3B1
REACTOME_SUMOYLATION,0.00069993,0.070251453,0.473191534,1.54785268,6,88,DNMT1;STAG2;SAFB;SAE1;RAD52;NUP214;CREBBP;NUP188;DDX17;MRTFA;EP300;UBA2;NUP98;RPA1;TOP2B;SIN3A;PIAS1;SMC5;NUP133;RNF168;SMC6;CHD3;RELA;SUMO2;UBE2I;PARP1;NUP85;SP3;HDAC1;SATB1;PIAS4;NCOA2
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,0.0009999,0.070251453,0.355877839,1.252331299,9,497,AXIN1;INTS11;ANAPC11;RNPS1;SYMPK;PBRM1;PRKAG1;CBFB;EHMT1;MED13;CREBBP;ZNF34;MAML1;HTT;NOC2L;CNOT6;PSMD13;POLR2A;CCNT1;MECP2;STK11;ARID1A;POLR2L;NELFB;TNRC6B;MED15;RPRD2;GATAD2B;KMT2D;SMARCA4;EP300;RBX1;NR2E3;SMARCE1;BRD1;RPA1;SKI;SRSF4;TAF2;ZNF750;LRPPRC;AFF4;YWHAQ;KMT2E;ZNF250;SSU72;SLBP;SMARCC1;ZNF589;SIN3A;TSC2;ZNF143;SUPT5H;PHF20;KMT2A;ITCH;H2AZ2;TRIM33;YWHAZ;YWHAB;FKBP5;SNAPC4;SETD9;RNGTT;JMY;RBL1;TNRC6A;ATRIP;ZNF584;ARID3A;AKT1;USP9X;CUL1;STUB1;RPTOR;MDM4;CDC27;SARNP;ELOB;ING5;CHD3;ZNF460;RELA;PSMA4;ZNF517;SMARCC2;RBBP7;MAPK1;EPC1;ZNF777;CNOT6L;USP7;ZNF706;CDK12;TP53BP2;UBE2I;MED16;CPSF2;SIRT3;RNU4ATAC;PARP1;ZNF79;COX5A;NFYC;NCOR1;CNOT4;TAF1;INTS8;TCF3;ATM;HDAC1;CBX3;PSMD1;ZNF473;ZNF200;CDK13;TBL1XR1;PAPOLA;GTF2B;ZNF254;ANAPC4;CTNNB1;COX14;AGO3;UBA52;RBM14;CASC3;MED26;ZFP69;SMURF2;CNOT10;MTOR;NR6A1;MED14;SRRM1;KMT2C;TNRC6C;KCTD6;ESRRA;CTR9;CPSF1;ANAPC7;MED25;PPP2R1B;PSME4;SUMO1;ZNF26;COX7A2L;THOC2;ZNF724;PSMC4;ZNF718;RUNX1;PSMF1;PSMC2;CNOT9;INTS13;ZNF432;PTPN11;GATAD2A;ZNF616;AGO4;FZR1;GLS;SUPT16H;ZNF234;CCNG1;FOXO3;U2AF2;PSMD4;CNOT11;PPP2CA;COX6C;ATXN3;SRRT;SMAD2;RPAP2;MED1;GPX2;ELOA;MDM2;AGO2;CSTF3;ZC3H8;ZNF684;PCGF5;EZH2;MAPK14;ZNF45;KMT2B;PTPN4;RICTOR;SKIL;ZNF701;CDC40;ZNF565;PPP2R1A;DDB2;ITGA4;SCMH1;TCEA1;ZNF354B;ERCC3;RFC2;ERCC2;MED8;THRA;CCNC;ZNF286A;SEM1;SNRPB;CDC23;PSMC5;NR1I2;NUDT21;ZNF235;ATAD2;MBD3;LEF1;SUPT6H;PSMD2;PML;ZNF615;PCF11;THOC1;CREB1;UPF3B;DEK;BRD7
REACTOME_SIGNALING_BY_WNT,0.00109989,0.070251453,0.444655519,1.473740115,10,110,AXIN1;CREBBP;PSMD13;KREMEN2;AP2A2;GNB1;RHOA;TNRC6B;KMT2D;SMARCA4;EP300;RBX1;CSNK1A1;NLK;H2AZ2;YWHAZ;AP2B1;RUVBL1;TNRC6A;AKT1;WNT11;CUL1;DVL1;PSMA4;NFATC1;XIAP;CCDC88C;HDAC1;PSMD1;CTNNB1;ZRANB1;AGO3;UBA52;RAC1;BTRC;SMURF2;CUL3;TNRC6C;PPP2R1B;PSME4;TLE3;VPS29;PSMC4;RYK;PSMF1;PSMC2;AGO4;DVL3;PSMD4;XPO1;PPP2CA
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,0.001101984,0.070251453,0.518046327,1.618969464,10,48,HSF1;NUP214;CREBBP;NUP188;EP300;NUP98;RPA1;ST13;NUP133;DEDD2;RPTOR;VCP;DNAJB1;MAPK1;NUP85;DNAJC7;ATM;PTGES3
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,0.001614042,0.091462389,0.556482181,1.676723793,15,33,CREBBP;CTCF;CNOT6;PKNOX1;POLR2A;POLR2L;KMT2D;EP300;NCOA6;NCOA3;H2AZ2
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.00239976,0.116321061,0.41600403,1.398952769,23,148,FBXW5;HERC1;ANAPC11;UBE2J2;UBR2;UBR4;PSMD13;RNF213;UBR1;UBE2G2;UBE2G1;FBXO22;RBX1;UNKL;UBE2Q2;ITCH;CBLB;FBXW2;BTBD1;UBE2H;UBE3C;TRIM37;CUL1;STUB1;CDC27;UBE2W;CCNF;ELOB;TRAF7;PSMA4;HECTD1;FBXW11;UBE2D2;UBE2L3;PSMD1;UBE2K;ANAPC4;UBA52;BTRC;SMURF2;CUL3;TPP2;KCTD6;FBXO9;UBAC1;ANAPC7;FBXL5;PSME4;HUWE1;NPEPPS;LRSAM1;PSMC4;UBE2V2;PSMF1;PSMC2;UBE3A;CUL7;CDC34;FBXL16;FZR1;VHL
