pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
REACTOME_GLYCOLYSIS,0.004903923,0.444439767,0.781004235,1.632612007,48,34,PGK1;NUP214;NUP133;NUP85;NUP153
REACTOME_GLUCOSE_METABOLISM,0.005302651,0.444439767,0.769827072,1.617683141,52,39,PGK1;NUP214;NUP133;NUP85;NUP153
REACTOME_APOPTOTIC_EXECUTION_PHASE,0.00558319,0.444439767,0.803905382,1.6196349,54,17,PLEC;SPTAN1;STK24;ADD1;BCAP31;SATB1
REACTOME_CELL_CELL_COMMUNICATION,0.00770077,0.444439767,0.71606931,1.512244916,76,45,PLEC;SPTAN1;ACTG1;ACTN4;GRB2;NCK2;ACTB;CD151;IQGAP1;SPTBN1;CTNND1;FLNA;CLDN15;PXN;FYN;FERMT2;PTK2
REACTOME_INFECTIOUS_DISEASE,0.00789921,0.444439767,0.562781663,1.237393428,78,316,PGK1;PACS1;PARP10;MAP2K2;POLR2A;IMPDH2;CHD3;GNB1;ACTG1;VPS37B;NMT2;MAN1B1;CHMP7;SH3GL1;WASF2;MYH9;BRD4;XRCC6;SUPT5H;GANAB;ATP1A1;PSMD13;AP2A2;NUP214;CCNT1;POLR2L;GRB2;TAF1;RNF213;ACTB;NUP133;P2RY11;PTGES3;BAIAP2;MYO1C;UBE2I;NCOR1;ELMO2;GNAI2;NMT1;TAF2;CSNK1A1;ARPC2;RPS5;GATAD2B;NUP85;NUP153;MYO5A;TUBB4B;NCKIPSD;RPLP2;CD4;NELFB;RELA;PML;MGAT2;EPS15;DYNC1H1;ERCC2;VAMP1;VPS28;DVL1;MAP1LC3B;GATAD2A;CTNND1;MAPK14;VCP
REACTOME_SENSORY_PERCEPTION,0.0080008,0.444439767,0.71036275,1.502904261,79,47,SPTAN1;GNB1;ACTG1;NMT2;MYH9;LDLR;CAPZB;ACTB;DNAJC5;MYO1C;NMT1
REACTOME_MEMBRANE_TRAFFICKING,0.00889911,0.444439767,0.568856686,1.248629375,88,275,SPTAN1;SNX9;PPP6R1;SBF1;CYTH1;TSC2;GAK;ARFGAP3;ACTG1;PRKAG1;VPS37B;CSNK1D;SURF4;CHMP7;SEC16A;PLA2G6;SH3GL1;MYH9;PPP6R3;VTI1A;SEC22C;GAPVD1;RAB14;PAFAH1B1;KLC2;USE1;AP2A2;LDLR;TRAPPC10;GRB2;EPS15L1;CAPZB;FNBP1;KLC1;AGPAT3;ACTB;YWHAB;RABEP1;TMEM115;MYO1C;ARPC2;YWHAZ;KIF1B;GOLGA1;MYO5A;AKT1;TUBB4B;STXBP3;RAB11A;CD4;TSC1;FTL;SPTBN1;LMAN2;ITSN2;EPS15;TBC1D20;SCFD1;DYNC1H1;RAB8A;STX16;TRAPPC8;VPS28;MAP1LC3B;GABARAP;PUM1;PICALM;CLTCL1;TBC1D14;VPS51;ASPSCR1;TUBA1A;KIF5B;TBC1D10A;GDI2;SNX2;NAA35;COPZ1;YWHAQ;RAB6A;SEC23IP;TGOLN2;DCTN1;EXOC3;EPN1;ARFGAP1;DENND6A;AGFG1;COPS7A;AP1G1;NECAP1;AP1M1;TBC1D25;PACSIN2;AP3B1;TRIP11;REPS1;ARF1;AP2S1;SEC24A;AP2B1;USP6NL;CAPZA1;CHMP6
REACTOME_VESICLE_MEDIATED_TRANSPORT,0.00989901,0.444439767,0.566578121,1.243966631,98,278,SPTAN1;SNX9;PPP6R1;SBF1;CYTH1;TSC2;GAK;ARFGAP3;ACTG1;PRKAG1;VPS37B;CSNK1D;SURF4;CHMP7;SEC16A;PLA2G6;SH3GL1;MYH9;PPP6R3;VTI1A;SEC22C;GAPVD1;RAB14;PAFAH1B1;KLC2;USE1;AP2A2;LDLR;TRAPPC10;GRB2;EPS15L1;CAPZB;FNBP1;KLC1;AGPAT3;ACTB;YWHAB;RABEP1;TMEM115;MYO1C;ARPC2;YWHAZ;KIF1B;GOLGA1;MYO5A;AKT1;TUBB4B;STXBP3;RAB11A;CD4;TSC1;FTL;SPTBN1;LMAN2;ITSN2;EPS15;TBC1D20;SCFD1;DYNC1H1;RAB8A;STX16;TRAPPC8;VPS28;MAP1LC3B;GABARAP;PUM1;PICALM;CLTCL1;TBC1D14;VPS51;ASPSCR1;TUBA1A;KIF5B;TBC1D10A;GDI2;SNX2;NAA35;COPZ1;YWHAQ;RAB6A;SEC23IP;TGOLN2;DCTN1;EXOC3;EPN1;ARFGAP1;DENND6A;AGFG1;COPS7A;AP1G1;NECAP1;AP1M1;TBC1D25;PACSIN2;AP3B1;TRIP11;REPS1;ARF1;AP2S1;SEC24A;AP2B1;USP6NL;CAPZA1;CHMP6
REACTOME_SENSORY_PROCESSING_OF_SOUND,0.011126704,0.444439767,0.726285623,1.507638356,110,28,SPTAN1;ACTG1;MYH9;CAPZB;ACTB;DNAJC5;MYO1C;SPTBN1
REACTOME_METABOLISM_OF_CARBOHYDRATES,0.0118,0.444439767,0.661790185,1.420282643,117,81,PGK1;TALDO1;CSPG5;MAN2C1;IDUA;NUP214;NUP133;NUP85;NUP153
