Chr	Cstart	Orientation	Hit_Count	Span_Count	Nearest_TxStart	TxStart_Gene	Tx_Alt	Within_Gene	Gene_list	Alt_Genes	Gene_Strand	Gene_Feature	Feature_Number
chrX	2865929	+	20	2	37108	NM_003918	GYG2	Yes	NM_003918,NM_001184702,NM_001184703,NM_001079855,NM_001184704	GYG2	+	Intron	9,8,7
chrX	18817131	+	12	2	-73164	NR_029379	PHKA2-AS1	Yes	NM_152224,NM_152226,NM_006240	PPEF1	+	Intron	15,14
chrX	84137740	+	1	1	50195	NM_014496	RPS6KA6	Yes	NM_014496	RPS6KA6	-	Intron	16
chrX	96863088	+	11	2	-20819	NM_013347	RPA4	Yes	NM_007309,NM_006729	DIAPH2	+	Intron	4
chrX	87056946	+	12	1	-460765	NM_057162	KLHL4	No					
chrX	124042588	+	8	1	80883	NM_006603	STAG2	Yes	NM_001042751,NM_001042750,NM_001282418,NM_006603,NM_001042749	STAG2	+	Exon	7,6
chrX	135045273	+	8	1	6918	NM_001078172	FAM127B	No					
chrX	45776252	+	13	1	-29128	NR_029636	MIR222	No					
chr13	80767713	+	1	1	-250677	NR_125770	LINC00377	No					
chr13	26288035	+	1	1	33417	NM_001260	CDK8	Yes	NM_001260	CDK8	+	Intron	1
chr13	84008750	+	25	2	-126357	NM_052910	SLITRK1	No					
chr13	45174952	+	10	1	26088	NM_198404	KCTD4	Yes	NM_004128	GTF2F2	+	Intron	4
chr13	52763630	+	1	1	-23818	NM_001011705	LECT1	No					
chr13	69621679	+	22	2	399334	NR_125752	LINC00383	No					
chr13	68020601	+	24	1	648215	NR_130792	LINC00364	No					
chr12	48941577	+	1	1	15892	NM_001659	ARF3	Yes	NM_001659	ARF3	-	Intron	4
chr12	100513677	+	1	1	10318	NM_001206992	NR1H4	Yes	NM_005123,NM_001206977,NM_001206993,NM_001206992,NM_001206979,NM_001206978	NR1H4	+	Intron	2,5,4
chr12	48941590	+	40	2	15879	NM_001659	ARF3	Yes	NM_001659	ARF3	-	Intron	4
chr12	118263345	+	15	1	109600	NM_016281	TAOK3	Yes	NM_016281	TAOK3	-	Intron	19
chr12	110737461	+	1	1	5517	NM_002710	PPP1CC	Yes	NM_002710,NM_001244974	PPP1CC	-	Intron	7,6
chr12	57716921	+	24	1	-9318	NR_027032	AGAP2-AS1	Yes	NM_001017958,NM_001017957,NM_001017956,NM_001261422,NM_001261423,NM_001261420,NM_001261421,NM_006812	OS9	+	Intron	9,8
chr12	121488961	+	27	1	-44609	NR_106957	MIR7107	Yes	NM_032590,NM_001005366	KDM2B	-	Intron	11
chr12	95039178	+	4	2	34450	NM_003297	NR2C1	Yes	NM_001127362,NM_001032287,NM_003297	NR2C1	-	Intron	2,4
chr12	97418063	+	14	1	-46957	NR_024037	RMST	No					
chr12	111496930	+	3	1	62069	NM_001291424	SH2B3	Yes	NR_132311,NM_002973,NM_001310123,NM_001310121	ATXN2	-	Intron	11,10,12
chr12	110713061	+	32	2	-23249	NM_001256413	HVCN1	No					
chr12	111496938	+	1	1	62077	NM_001291424	SH2B3	Yes	NR_132311,NM_002973,NM_001310123,NM_001310121	ATXN2	-	Intron	11,10,12
chr12	54449983	+	29	2	23619	NM_144594	GTSF1	Yes	NR_120487,NR_120486	LOC102724050	+	Intron	3
chr11	70326928	+	1	1	42974	NR_031624	MIR548K	Yes	NR_045286,NM_003626,NM_177423	PPFIA1	+	Intron	7
chr11	7450898	+	11	1	14937	NR_103855	LOC100506258	Yes	NM_175733,NR_103855	SYT9,LOC100506258	+, -	Intron	2,6
chr11	39262611	+	1	1	613754	NR_120553	LINC01493	No					
chr11	72920085	+	23	1	40166	NR_039664	MIR4459	Yes	NM_014824	FCHSD2	-	Intron	11
chr11	66114327	+	5	1	43975	NM_018026	PACS1	Yes	NM_018026	PACS1	+	Intron	1
chr11	117276962	+	4	1	-14383	NR_037803	BACE1-AS	Yes	NM_001278249,NM_207343,NM_001077239	RNF214	+	Intron	6
chr11	928037	+	33	1	2229	NM_012305	AP2A2	Yes	NM_001242837,NM_012305	AP2A2	+	Intron	1
chr11	92890663	+	1	1	-78959	NM_005959	MTNR1B	Yes	NM_001008781	FAT3	+	Exon	25
chr11	133659946	+	21	2	-127438	NM_001012393	OPCML	No					
chr11	15025457	+	1	1	-48142	NM_000728	CALCB	No					
chr11	65343797	+	31	2	10044	NM_006268	DPF2	Yes	NM_006268	DPF2	+	Exon	5
chr11	62719673	+	17	1	7711	NR_037946	HNRNPUL2-BSCL2	Yes	NM_001079559,NR_037946	HNRNPUL2,HNRNPUL2-BSCL2	-	Intron	4,14
chr11	134414666	+	1	1	-2748	NM_018644	B3GAT1	No					
chr11	62637259	+	1	1	9467	NM_001278194	GANAB	Yes	NM_001278194,NM_198334,NM_198335,NM_001278192,NM_001278193	GANAB	-	Intron	20,21
